,https://scholar.google.co.uk/intl/en/scholar/inclusion.html#indexing,,
,https://docs.google.com/document/d/1idppOynYNv4CkIUMfylAhedu_D4ys3nfDJRka9dNi8Y/edit,Orange highlights in column A relate to this doc,
,http://greycite.knowledgeblog.org/metadata/42639,,
,,,
What is it?,The tag,Comment/question,
,"<meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=10, minimum-scale=1, user-scalable=yes"" />",,
,"<link rel=""shortlink"" href=""/node/32675"" />",,
,"<meta http-equiv=""x-dns-prefetch-control"" content=""on"" />",,
,"<link rel=""dns-prefetch"" href=""//cdn-site.elifesciences.org"" />",,
,,,
Format,"<meta name=""DC.Format"" content=""text/html"" />",,
Language,"<meta name=""DC.Language"" content=""en"" />",,
Article title,"<meta name=""DC.Title"" content=""The β-hairpin of 40S exit channel protein Rps5/uS7 promotes efficient and accurate translation initiation in vivo"" />",,
DOI,"<meta name=""DC.Identifier"" content=""10.7554/eLife.07939"" />",,
Pub date,"<meta name=""DC.Date"" content=""2015-07-24"" />",,
Publisher,"<meta name=""DC.Publisher"" content=""eLife Sciences Publications Limited"" />",,
Copyright/licence,"<meta name=""DC.Rights"" content=""©  . This is an open-access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication."" />",,
Digest,"<meta name=""DC.Description"" content=""To make a protein, the DNA sequence of a gene is first copied to make an mRNA molecule, which is then translated into a protein by a molecular machine called the ribosome. The first step",,
Author,"<meta name=""DC.Contributor"" content=""Jyothsna Visweswaraiah"" />",,
Author,"<meta name=""DC.Contributor"" content=""Yvette Pittman"" />",,
Author,"<meta name=""DC.Contributor"" content=""Thomas E Dever"" />",,
Author,"<meta name=""DC.Contributor"" content=""Alan G Hinnebusch"" />",,
Editor,"<meta name=""DC.Contributor"" content=""Nahum Sonenberg"" />",,
,,,
Funding,"<meta name=""citation_funding_source"" content=""citation_funder=National Institutes of Health (NIH);citation_funder_id=http://dx.doi.org/10.13039/100000002;citation_grant_number=Intramural Program;citation_grant_recipient=Alan G Hinnebusch"" />",,
Keywords,"<meta name=""citation_keywords"" content=""translation, initiation, regulation, Rps5/uS7, ribosome, yeast, S. cerevisiae"" />",Amended from HW output,
Pub date,"<meta name=""article:published_time"" content=""2015-07-24"" />",Duplicate - remove?,
Major subject area,"<meta name=""article:section"" content=""Genes and chromosomes"" />",Duplicate - remove? Only lists the first even if there are two,
Journal title,"<meta name=""citation_journal_title"" content=""eLife"" />",,
Publisher,"<meta name=""citation_publisher"" content=""eLife Sciences Publications Limited"" />",,
Article title,"<meta name=""citation_title"" content=""The β-hairpin of 40S exit channel protein Rps5/uS7 promotes efficient and accurate translation initiation in vivo"" />",,
Pub date,"<meta name=""citation_publication_date"" content=""2015/07/24"" />",,
,"<meta name=""citation_mjid"" content=""elife;4/0/e07939"" />","Needs to have ""issue"" removed from content",Redundant/remove?
Cite as,"<meta name=""citation_id"" content=""4/0/e07939"" />","Needs to have ""issue"" removed from content",Redundant/remove?
URL,"<meta name=""citation_public_url"" content=""http://elifesciences.org/content/4/e07939"" />",,
Abstract URL,"<meta name=""citation_abstract_html_url"" content=""http://elifesciences.org/content/4/e07939.abstract"" />",,
Full text URL,"<meta name=""citation_full_html_url"" content=""http://elifesciences.org/content/4/e07939.full"" />",Redundant?,
PDF URL,"<meta name=""citation_pdf_url"" content=""http://elifesciences.org/content/elife/4/e07939.full.pdf"" />",,
ISSN,"<meta name=""citation_issn"" content=""2050-084X"" />",,
